"Key","SourceString","Comment"
"tutorial_addability_changewidth","Vamos a ensanchar la hoja usando la habilidad <ability>Cambiar Anchura</>",""
"tutorial_addability_point","Ahora añadele punta a la espada.",""
"tutorial_pointisrequired","Normalmente, los clientes no aceptarán una espada sin punta.",""
"tutorial_addability_crosssection","La habilidad <ability>Sección Transversal</> afila tu hoja. Vamos a añadirla.",""
"tutorial_crosssection_twosteps","Esta habilidad tiene dos pasos. Primero, necesitas darle a la hoja un filo afilado.",""
"tutorial_crosssectiondisplay_watch","Observa el panel de sección transversal en la esquina superior derecha para entender mejor lo que está cambiando.",""
"tutorial_hammeruntildone","Martilla hasta que la línea azul en la hoja se vuelva naranja.",""
"tutorial_crosssection_established","El filo ahora está afilado y puedes ajustar aún más la forma de la sección transversal.",""
"tutorial_crosssection_hammerhextodiamond","Sigue martillando hasta que la forma de hexágono <Hexagon/> se convierta en un diamante <Diamond/>.",""
"tutorial_bladeiscomplete","¡Genial, tu hoja está completa!",""
"tutorial_hiltmode_button","Haz clic en el botón <emph>modo empuñadura</> para empezar a trabajar en la empuñadura.",""
"tutorial_swordpartlibrary","En modo empuñadura, tienes acceso a una biblioteca de piezas de espada para completar tu espada.",""
"tutorial_swordpart_guard","Selecciona una guarda de la biblioteca y luego colócala en una ranura de tu espada.",""
"tutorial_swordpart_costresources","En modo empuñadura, acoplar piezas cuesta <emph>recursos</>.",""
"tutorial_resources_panel","Vigila el panel de recursos para ver cuánto estás gastando.",""
"tutorial_swordpart_grip","Añade una pieza de empuñadura a continuación.",""
"tutorial_swordpart_requirestwohanded","Tu cliente necesita una espada a dos manos, así que la sección de la empuñadura debe ser lo suficientemente larga.",""
"tutorial_swordpart_secondgrip","Acopla una segunda pieza de empuñadura a la primera.",""
"tutorial_swordpart_cycle","Cuando tengas una pieza de espada en la mano, puedes alternar entre ellas usando <key>Q</>/<key>E</> o Ctrl + la rueda del ratón.",""
"tutorial_swordpart_trycyclepommel","Selecciona un pomo e inténtalo ahora.",""
"tutorial_swordpart_physics","Cada parte de tu espada influye en sus <emph>físicas</>.",""
"tutorial_watchweightandbalance","Observa cómo cambian los medidores de peso y equilibrio al acoplar un pomo.",""
"tutorial_swordpart_detach","Puedes volver a separar las piezas de la espada haciendo clic sobre ellas.",""
"tutorial_swordpart_resourcerefund","Recuperarás tus recursos, así que siéntete libre de experimentar.",""
"tutorial_finaladjustments","Cuando estés satisfecho con tu empuñadura a dos manos, hagamos algunos ajustes finales a la hoja.",""
"tutorial_finaladjustments_detailed","Cuando tu empuñadura esté completa con una guarda, dos piezas de empuñadura y un pomo, hagamos algunos ajustes finales a la hoja.",""
"tutorial_abilityhistory","El historial de habilidades muestra todas las habilidades que se han utilizado en la hoja.",""
"tutorial_abilityhistory_revisit","Puedes usar esto para volver a visitar las habilidades y editarlas o eliminarlas.",""
"tutorial_abilityhistory_intensity","El número junto a una habilidad aplicada indica su intensidad.",""
"tutorial_abilityhistory_nocost","Editar las habilidades no tiene coste. Siéntete libre de experimentar.",""
"tutorial_abilityhistory_revisitchangewidth","Selecciona la habilidad <ability>Cambiar Anchura</> que agregaste antes.",""
"tutorial_abilityhistory_hammertonarrow","Presiona <key>X</> para invertir la dirección de tu martillado, luego martilla para estrechar la hoja.",""
"tutorial_perfect","¡Perfecto!",""
"tutorial_finishfirstcommmission","Este encargo está completado, así que es hora de vender la espada. Haz clic en el botón de arriba.",""
"tutorial_finishfirstcommmission_congratulations","¡Felicidades por terminar tu primera espada!",""
"tutorial_secondcommissionawaits","Otro cliente te está esperando.",""
"tutorial_repairjob","Los clientes con <emph>trabajos de mantenimiento</> te darán una espada que desean que edites.",""
"tutorial_repairjob_nocost","Estas comisiones no tienen un coste inicial de lingote, así que son perfectas para ganar algo de dinero cuando te falten recursos.",""
"tutorial_repairjob_alteration","Este cliente quiere que su espada sea modificada. La punta redondeada debe convertirse en una punta estrecha.",""
"tutorial_revisitpoint","Vuelve a la habilidad <ability>Punta</> para reforjarla.",""
"tutorial_abilities_range","Puedes cambiar el <emph>rango</> de muchas habilidades.",""
"tutorial_abilities_rangemarker","El rango influenciado por tu habilidad está marcado con una línea.",""
"tutorial_abilities_rangemarker_drag","Arrastra el mango circular al final de esta línea.",""
"tutorial_hammertoapply","Martilla para aplicar tu cambio.",""
"tutorial_nicework","¡Buen trabajo!",""
"tutorial_requirementsfulfilled_commissioncomplete","Cuando hayas cumplido todos los requisitos, el encargo estará completo y podrás vender la espada.",""
"tutorial_scrapitem_recieved","¡Acabas de recibir <emph>chatarra</>!",""
"tutorial_gotoyour_inventory","Ve a tu <emph>inventario</> para inspeccionar lo que recibiste.",""
"tutorial_salvaging_features","<emph>Desguazar</> convierte la chatarra en recursos útiles.",""
"tutorial_salvaging_apcost","Esto cuesta una pequeña cantidad de Puntos de Acción <AP/>, así que es un uso perfecto para los puntos sobrantes al final del día.",""
"tutorial_item_hoverfordescription","Coloca el cursor sobre los objetos para ver sus descripciones.",""
"tutorial_item_interacttosalvage","Interactúa con el objeto para desguazarlo.",""
"tutorial_endday_apspent","Cuando hayas gastado tus Puntos de Acción <AP/>, es hora de <emph>terminar el día</>.",""
"tutorial_endday_apleft_willbelost","Si terminas el día con Puntos de Acción <AP/> restantes, se perderán, así que trata de usarlos siempre que puedas.",""
"tutorial_tutorialfinished","Bien hecho – ¡Has terminado el tutorial!",""
"tutorial_pickcommissions_youlike","A partir de hoy, tendrás más Puntos de Acción <AP/> para gastar. No podrás completar todas las comisiones, así que elige las que más te llamen la atención.",""
"tutorial_gamewillopenup","El juego se abrirá a partir de aquí. ¡No tengas miedo de explorar!",""
"tutorial_startingresources","Aquí tienes algunos recursos para que comiences.",""
"tutorial_firstvendor_unlocked","¡Acabas de desbloquear tu primer <emph>comerciante</>!",""
"tutorial_visitvendors_atanypoint","En cualquier momento del día, visita a los comerciantes para comprar recursos y otros objetos.",""
"tutorial_asymmetry_feautrebasic","Usa la función de asimetría para crear hojas de un solo filo o añadir decoración a un solo lado de la espada.",""
"tutorial_asymmetry_mostabilities","Para la mayoría de las habilidades, puedes configurar qué lados de la hoja se ven afectados: izquierdo, derecho o ambos.",""
"tutorial_asymmetry_button","Haz clic en el botón de asimetría para alternar entre las opciones.",""
"tutorial_advancedabilities","Algunas habilidades, como <ability>Sección transversal</>, incluyen controles avanzados que te permiten personalizar aún más su forma.",""
"tutorial_advancedabilities_availability","Una vez que tu habilidad alcanza el 100%, los controles avanzados se vuelven disponibles.",""
"tutorial_changeshape","Selecciona y martilla para modificar varios parámetros de la forma.",""
"tutorial_requirements_style","Este cliente tiene un <emph>requisito de estilo</>.",""
"tutorial_requirements_books","Los clientes pueden pedir piezas de espada de un libro específico. Las piezas relevantes están marcadas.",""
"tutorial_requirements_materialsandcolour","Los clientes también pueden pedir materiales o colores específicos.",""
"tutorial_requirements_partsandmaterials","Aplica las piezas y materiales para cumplir con los requisitos del cliente.",""
"tutorial_scale_ability","Ahora puedes <emph>escalar</> las piezas de la espada.",""
"tutorial_scale_shortcuts","Recoge cualquier pieza de espada y luego mantén <key>W</> y <key>S</> para escalar la pieza.",""
"tutorial_scale_resourceinfluence","Escalar influye tanto en el uso de recursos como en el peso de la pieza, una herramienta útil para equilibrar la física de tu espada.",""
"tutorial_stretchandbend_ability","Ahora tienes la habilidad de <emph>estirar y doblar</> las piezas de la espada.",""
"tutorial_stretchandbend_draghandle","Arrastra el mango al final de una pieza para estirarla y doblarla, o mantén presionada la tecla Shift para mantenerla recta.",""
"tutorial_stretchandbend_resourceinfluence","Estirar y doblar influye tanto en el uso de recursos como en el peso de la pieza.",""
"tutorial_outofresources","¡Has agotado todos tus recursos! Para completar esta espada, recicla más recursos o cómpralos en un comerciante.",""
"tutorial_renamesword","¿Sabías que puedes <emph>renombrar</> tu espada? Haz clic en el nombre en la barra superior y empieza a escribir.",""
"tutorial_skillpointearned","¡Has ganado un <emph>punto de habilidad</>! Abre el árbol de habilidades para gastarlo en mejoras.",""
"tutorial_factionreputation","¡Has ganado <emph>reputación con una facción</>! Selecciona el botón resaltado para ver cómo alcanzar el siguiente rango.",""
"tutorial_handandahalf","Este encargo requiere una empuñadura de <emph>mano y media</>.
"tutorial_handandahalf_stretch","Coloca una pieza de empuñadura y luego toma el mango al final para alargarlo o acortarlo.",""
"tutorial_handandahalf_oneortwo","Usa una pieza de empuñadura larga o dos cortas para lograr una empuñadura de mano y media.",""
